id,title,title_local,year,venue,status,source_type,primary_route,routes,level,tier,evidence_level,paper_url,doi,code_url,project_url,data_url,figure_url,source_note
specialist-autoresearch,Auto Research with Specialist Agents Develops Effective and Non-Trivial Training Recipes,专长智能体自动研究有效且非平凡的训练配方,2026,arXiv,preprint,paper,ml-research-loop,ml-research-loop,2,core,C,https://arxiv.org/abs/2605.05724,,https://github.com/cxcscmu/Auto-Research-Recipes,,,,核验 arXiv 全文的三任务环境、提交循环、专长谱系、表 1 对照与范围限制；保持预印本置信度。
bilevel-autoresearch,Bilevel Autoresearch: Meta-Autoresearching Itself,双层 AutoResearch：对搜索机制本身进行元研究,2026,arXiv,preprint,paper,ml-research-loop,ml-research-loop,2,bridge,C,https://arxiv.org/abs/2603.23420,,,,,,核验 arXiv 全文的双层机制与单基准限制。
karpathy-autoresearch,karpathy/autoresearch,Karpathy 的 autoresearch 开源项目,2026,Official GitHub repository,official-report,code,ml-research-loop,ml-research-loop,2,core,B,https://github.com/karpathy/autoresearch,,https://github.com/karpathy/autoresearch,,,,核验官方仓库 README 的 The idea、How it works、Requirements、Design choices，以及 program.md 和许可证。
aide-code-search,AIDE: AI-Driven Exploration in the Space of Code,AIDE：在代码空间中的人工智能驱动探索,2025,arXiv,preprint,paper,ml-research-loop,ml-research-loop,2,core,C,https://arxiv.org/abs/2502.13138,,https://github.com/WecoAI/aideml,,,,核验 arXiv 正文的无状态标量目标、算法 1、Weco-Kaggle 结果与污染边界，以及官方代码入口；结论保持为作者报告。
alphaevolve,AlphaEvolve: A coding agent for scientific and algorithmic discovery,AlphaEvolve：用于科学与算法发现的编码智能体,2025,arXiv technical report,preprint,paper,ml-research-loop,ml-research-loop|domain-discovery,2,bridge,B,https://arxiv.org/abs/2506.13131,,,https://deepmind.google/blog/alphaevolve-a-gemini-powered-coding-agent-for-designing-advanced-algorithms/,,,核验 arXiv 技术报告与 Google DeepMind 官方项目说明；未经过同行评议。
robin,A multi-agent system for automating scientific discovery,用于自动化科学发现的多智能体系统,2026,Nature,peer-reviewed,paper,domain-discovery,domain-discovery|physical-lab,1,core,A,https://www.nature.com/articles/s41586-026-10652-y,10.1038/s41586-026-10652-y,,,,,"核验 Nature 655, 497–505 正式全文与 DOI。"
google-co-scientist,Accelerating scientific discovery with Co-Scientist,用 Co-Scientist 加速科学发现,2026,Nature,peer-reviewed,paper,domain-discovery,domain-discovery|knowledge-ideation,1,core,A,https://www.nature.com/articles/s41586-026-10644-y,10.1038/s41586-026-10644-y,,,,,"核验 Nature 655, 487–496 正式全文与 DOI；以正式版本合并早期预印本。"
moose-chem,MOOSE-Chem: Large Language Models for Rediscovering Unseen Chemistry Scientific Hypotheses,MOOSE-Chem：用大模型重新发现未见化学假设,2025,ICLR 2025,peer-reviewed,paper,domain-discovery,domain-discovery|knowledge-ideation,1,bridge,B,https://openreview.net/forum?id=X9OfMNNepI,,https://github.com/ZonglinY/MOOSE-Chem,,,,核验 ICLR 2025 主会正式记录与官方代码仓库；AI4X 2025 页面仅作为后续展示版本关联。
virtual-lab,The Virtual Lab of AI agents designs new SARS-CoV-2 nanobodies,人工智能智能体虚拟实验室设计新型新冠病毒纳米抗体,2025,Nature,peer-reviewed,paper,domain-discovery,domain-discovery|knowledge-ideation,1,core,A,https://www.nature.com/articles/s41586-025-09442-9,10.1038/s41586-025-09442-9,,,,,"核验 Nature 646, 716–723 正文的虚拟会议流程、92 个设计与实体结合实验。"
materials-auto-research,Auto Research for Materials: Auditable AI-Scientist Workflows with Held-Out Transfer,材料 Auto Research：可审计的留出迁移工作流,2026,arXiv,preprint,paper,domain-discovery,domain-discovery|ml-research-loop,2,bridge,C,https://arxiv.org/abs/2607.17100,,,,,,核验 arXiv:2607.17100v2 全文的七次搜索、701 次尝试、冻结代码、留出协议与边界。
discoper,Autonomous Scientific Discovery via Iterative Meta-Reflection,通过迭代元反思进行自主科学发现,2026,arXiv,preprint,paper,domain-discovery,domain-discovery|ml-research-loop,2,core,C,https://arxiv.org/abs/2607.01131,,,,,,核验 arXiv:2607.01131v1 全文、两个数据规模、三次重复、消融、反事实检查和重复使用留出集的边界。
cellvoyager,CellVoyager: AI CompBio agent generates new insights by autonomously analyzing biological data,CellVoyager：自主分析生物数据并生成候选新见解的计算生物学智能体,2026,Nature Methods,peer-reviewed,paper,domain-discovery,domain-discovery|evaluation-governance,2,bridge,A,https://www.nature.com/articles/s41592-026-03029-6,10.1038/s41592-026-03029-6,,,,,版本族核验：Nature Methods 正式元数据、摘要与图1–6；正文位置来自作者 bioRxiv 预印本；HeurekaBench 提供独立但任务经改造的外部评测。
molecular-auto-research,Closed-loop Auto Research for Molecular Property Prediction: Discovering and Certifying Generalizable Improvements,面向分子性质预测的闭环 Auto Research,2026,arXiv,preprint,paper,domain-discovery,domain-discovery|ml-research-loop|evaluation-governance,2,core,C,https://arxiv.org/abs/2606.22731,,https://github.com/cxcscmu/Auto-Research-Molprop,,,,核验 arXiv 全文中的端点数、验证—测试差距与 AutoML 对照。
popper,Automated Hypothesis Validation with Agentic Sequential Falsifications,通过智能体序贯证伪自动验证假设,2025,ICML 2025,peer-reviewed,paper,domain-discovery,domain-discovery|knowledge-ideation,2,core,A,https://proceedings.mlr.press/v267/huang25n.html,,https://github.com/snap-stanford/POPPER,,,,核验 ICML 2025 正文的序贯证伪算法、六领域实验与时间比较。
coscientist-chemistry,Autonomous chemical research with large language models,大模型驱动的自主化学研究 Coscientist,2023,Nature,peer-reviewed,paper,physical-lab,physical-lab|domain-discovery,2,core,A,https://www.nature.com/articles/s41586-023-06792-0,10.1038/s41586-023-06792-0,,,,,"核验 Nature 624, 570–578 正式全文、设备流程与安全披露。"
sample-protein-lab,Self-driving laboratories to autonomously navigate the protein fitness landscape,自主探索蛋白适应度景观的自驱实验室 SAMPLE,2024,Nature Chemical Engineering,peer-reviewed,paper,physical-lab,physical-lab|domain-discovery,3,core,A,https://www.nature.com/articles/s44286-023-00002-4,10.1038/s44286-023-00002-4,,,,,核验 Nature Chemical Engineering 正式全文、数据与代码入口。
a-lab,An autonomous laboratory for the accelerated synthesis of inorganic materials,用于加速无机材料合成的自主实验室 A-Lab,2023,Nature,peer-reviewed,paper,physical-lab,physical-lab|domain-discovery|evaluation-governance,3,core,B,https://www.nature.com/articles/s41586-023-06734-w,10.1038/s41586-023-06734-w,,,,,联合核验 Nature 正式全文、Nature 出版更正和 PRX Energy 同行评议反证；按一个版本族计数，数字采用更正后口径。
mobile-robotic-chemist,A mobile robotic chemist,移动机器人化学家,2020,Nature,peer-reviewed,paper,physical-lab,physical-lab,3,core,B,https://www.nature.com/articles/s41586-020-2442-2,10.1038/s41586-020-2442-2,,,,,"核验 Nature 583, 237–241 正式论文，并用可对应分页的机构库接受稿核验正文和方法。"
robot-scientist-eve,Cheaper faster drug development validated by the repositioning of drugs against neglected tropical diseases,机器人科学家 Eve：通过药物重定位加速被忽视热带病研发,2015,Journal of the Royal Society Interface,peer-reviewed,paper,physical-lab,physical-lab|domain-discovery,3,bridge,A,https://doi.org/10.1098/rsif.2014.1289,10.1098/rsif.2014.1289,,,,,核验 Royal Society 正文的方法、筛选闭环与后续人工 DHFR 验证。
robot-scientist-adam,The automation of science,科学自动化：机器人科学家 Adam,2009,Science,peer-reviewed,paper,physical-lab,physical-lab|domain-discovery,3,core,A,https://www.science.org/doi/10.1126/science.1165620,10.1126/science.1165620,,,,,核验 Science 正文与 Warwick 机构库全文记录的闭环机制、测量规模、维护边界和人工确认。
automatic-review-faulty-reasoning,Automatic Reviewers Fail to Detect Faulty Reasoning in Research Papers: A New Counterfactual Evaluation Framework,自动评审器无法识别研究论文中的错误推理：反事实评测框架,2026,TACL,peer-reviewed,benchmark,evaluation-governance,evaluation-governance|paradigm-orchestration,0,core,A,https://aclanthology.org/2026.tacl-1.22/,10.1162/tacl.a.642,https://github.com/UKPLab/tacl2026-counter-review-logic,,,,核验 TACL 2026 正式全文的第 4 节反事实框架、第 6.2 节结果、图 3–5、表 4 和附录表 5。
autoresearchbench,AutoResearchBench: Benchmarking AI Agents on Complex Scientific Literature Discovery,AutoResearchBench：复杂科学文献发现智能体基准,2026,arXiv,preprint,benchmark,evaluation-governance,evaluation-governance|knowledge-ideation,0,core,C,https://arxiv.org/abs/2604.25256,,https://github.com/CherYou/AutoResearchBench,,,,核验 arXiv:2604.25256v1 全文、完整与50题子集的不同分母、构造成本和难题筛选边界。
badscientist,BadScientist: Can a Research Agent Write Convincing but Unsound Papers that Fool LLM Reviewers?,BadScientist：研究智能体能否用不可靠论文欺骗大模型评审,2026,ACL 2026,peer-reviewed,benchmark,evaluation-governance,evaluation-governance|paradigm-orchestration,0,core,A,https://aclanthology.org/2026.acl-long.1134/,10.18653/v1/2026.acl-long.1134,,,,,核验 ACL 2026 正式全文；保留名义600次生成与实际有效稿分母未披露的区别。
labsafety-bench,Benchmarking large language models on safety risks in scientific laboratories,科学实验室安全风险大模型基准,2026,Nature Machine Intelligence,peer-reviewed,benchmark,evaluation-governance,evaluation-governance|physical-lab,0,core,A,https://www.nature.com/articles/s42256-025-01152-1,10.1038/s42256-025-01152-1,,,,,核验 Nature Machine Intelligence 正式摘要和期刊元数据，并用 DOI 明确关联的 arXiv:2410.14182v4 全文核验题目规模、模型结果与方法边界。
risks-ai-scientists,Risks of AI scientists: prioritizing safeguarding over autonomy,人工智能科学家的风险：安全保障优先于自治,2025,Nature Communications,peer-reviewed,perspective,evaluation-governance,evaluation-governance|physical-lab,0,bridge,B,https://www.nature.com/articles/s41467-025-63913-1,10.1038/s41467-025-63913-1,,,,,"核验 Nature Communications 16, 8317 正式全文与 DOI。"
illusions-understanding,Artificial intelligence and illusions of understanding in scientific research,科学研究中的人工智能与理解幻觉,2024,Nature,peer-reviewed,perspective,evaluation-governance,evaluation-governance|knowledge-ideation,0,background,B,https://www.nature.com/articles/s41586-024-07146-0,10.1038/s41586-024-07146-0,,,,,"核验 Nature 627, 49–58 正式全文、论点与 DOI。"
autoexperiment,From Reproduction to Replication: Evaluating Research Agents with Progressive Code Masking,从复现到重复验证：用渐进式代码遮蔽评测研究智能体,2026,ICLR 2026,peer-reviewed,benchmark,evaluation-governance,evaluation-governance|ml-research-loop,2,core,A,https://iclr.cc/virtual/2026/poster/10007273,,https://github.com/j1mk1m/AutoExperiment,,,,核验 ICLR 2026 正式版本与 OpenReview 全文 qBcHWGBnIb 的渐进遮蔽设计、表格结果和样本口径。
era-data-leakage,Information leakage from data revisions in retrospective forecasts,回顾性预测中的数据修订信息泄漏,2026,arXiv,preprint,paper,evaluation-governance,evaluation-governance|ml-research-loop,2,core,C,https://arxiv.org/abs/2608.05883,,https://github.com/jbracher/era-replication,,,,核验 2026-08-06 arXiv 全文、表 1 与对后续前瞻结果的限定。
inquitree,InquiTree: Evaluating AI Agents in the Scientific Inquiry Loop with Paper-Derived Research Trees,InquiTree：用论文派生研究树评测科学探究循环中的人工智能智能体,2026,arXiv preprint,preprint,benchmark,evaluation-governance,evaluation-governance|domain-discovery,2,core,C,https://arxiv.org/abs/2606.09550,,,,,,核验 arXiv:2606.09550v1 全文；未找到 TMLR 一手投稿记录，因此 venue 只标 arXiv preprint。
researchclawbench,ResearchClawBench: A Benchmark for End-to-End Autonomous Scientific Research,ResearchClawBench：端到端自主科学研究基准,2026,arXiv,preprint,benchmark,evaluation-governance,evaluation-governance|paradigm-orchestration|domain-discovery,2,core,C,https://arxiv.org/abs/2606.07591,,https://github.com/InternScience/ResearchClawBench,,,,核验 arXiv:2606.07591v5 全文；仅引用无内部冲突的单系统均值，并保留配置数和 frontier mean 异常。
rexbench,RExBench: Can coding agents autonomously implement AI research extensions?,RExBench：编码智能体能否自主实现人工智能研究扩展,2026,ACL 2026,peer-reviewed,benchmark,evaluation-governance,evaluation-governance|ml-research-loop,2,core,A,https://aclanthology.org/2026.acl-long.745/,10.18653/v1/2026.acl-long.745,,,,,核验 ACL 2026 正文与附录：12 项扩展、12 个代理、两种框架，以及主实验与后续新模型提示设置的不同上界。
corebench,CORE-Bench: Fostering the Credibility of Published Research Through a Computational Reproducibility Agent Benchmark,CORE-Bench：计算复现智能体基准,2025,TMLR,peer-reviewed,benchmark,evaluation-governance,evaluation-governance,2,core,A,https://openreview.net/forum?id=BsMMc4MEGS,,https://github.com/siegelz/core-bench,,,,核验 TMLR 正式记录与作者全文的 90 个仓库、270 项任务、评价沙箱、表 5 结果和后续 v1.1 构念效度边界。
mlebench,MLE-bench: Evaluating Machine Learning Agents on Machine Learning Engineering,MLE-bench：机器学习工程智能体评测,2025,ICLR 2025,peer-reviewed,benchmark,evaluation-governance,evaluation-governance|ml-research-loop,2,core,A,https://proceedings.iclr.cc/paper_files/paper/2025/hash/7e3767db483c942b883eb4f8cfb74e31-Abstract-Conference.html,,https://github.com/openai/mle-bench,,,,核验 ICLR 2025 正文的离线竞赛构建、75 个任务与 16.9% 奖牌结果。
mlrbench,MLR-Bench: Evaluating AI Agents on Open-Ended Machine Learning Research,MLR-Bench：开放式机器学习研究智能体评测,2025,NeurIPS 2025 Datasets and Benchmarks,peer-reviewed,benchmark,evaluation-governance,evaluation-governance|paradigm-orchestration|ml-research-loop,2,core,A,https://papers.nips.cc/paper_files/paper/2025/hash/ab8dd000d6f87f40061a73f8bca7fae4-Abstract-Datasets_and_Benchmarks_Track.html,10.52202/085713-3945,,,,,核验 NeurIPS 2025 正文的 201 项框架、10 项执行子集与 Claude Code 8/10 无效结果。
paperbench,PaperBench: Evaluating AI's Ability to Replicate AI Research,PaperBench：评测人工智能复现人工智能研究的能力,2025,ICML 2025,peer-reviewed,benchmark,evaluation-governance,evaluation-governance|ml-research-loop,2,core,A,https://proceedings.mlr.press/v267/starace25a.html,,,,,,"核验 ICML 2025 正文的 20 篇论文、8,316 个量表节点、主设置，以及三论文 48 小时人类子集。"
rebench,RE-Bench: Evaluating frontier AI R&D capabilities of language model agents against human experts,RE-Bench：对照人类专家评测前沿人工智能研发能力,2025,ICML 2025,peer-reviewed,benchmark,evaluation-governance,evaluation-governance|ml-research-loop,2,core,A,https://proceedings.mlr.press/v267/wijk25a.html,,,,,,核验 ICML 2025 正文的人类样本、七个环境与按总时间预算聚合的人机曲线。
discoveryworld,DiscoveryWorld: A Virtual Environment for Developing and Evaluating Automated Scientific Discovery Agents,DiscoveryWorld：开发与评测自动科学发现智能体的虚拟环境,2024,NeurIPS 2024 Datasets and Benchmarks,peer-reviewed,benchmark,evaluation-governance,evaluation-governance|domain-discovery,2,core,A,https://proceedings.neurips.cc/paper_files/paper/2024/hash/13836f251823945316ae067350a5c366-Abstract-Datasets_and_Benchmarks_Track.html,10.52202/079017-0324,https://github.com/allenai/discoveryworld,,,,核验 NeurIPS 2024 正式记录与作者全文的 24 个模板、120 个实例、三类指标、结果表和低保真限制。
mlagentbench,MLAgentBench: Evaluating Language Agents on Machine Learning Experimentation,MLAgentBench：评测机器学习实验智能体,2024,ICML 2024,peer-reviewed,benchmark,evaluation-governance,evaluation-governance|ml-research-loop,2,core,A,https://proceedings.mlr.press/v235/huang24y.html,,https://github.com/snap-stanford/MLAgentBench,,,,核验 ICML 2024 正式记录与作者全文的执行循环、成功阈值、13 项任务和逐任务结果。
