claim_id,claim_text,paper_id,evidence_location,V,D,P,Q,audit_status,notes
C011,官方白皮书称在计算基础设施、矩阵乘法和五十余个数学问题上发现改进，其中部分结果可形式化核验。,alphaevolve,arXiv:2506.13131 技术报告摘要与 Google DeepMind 官方 AlphaEvolve 项目说明,V2,D1,P1,Q2,已核验,限制：未经同行评议，完整系统与全部实验未公开；快速可执行评价器的收益不能外推开放科学判断。
C012,官方 README 预计单 GPU 每小时约 12 次实验，并公开单文件、五分钟训练、保留或回退与硬件限制。,karpathy-autoresearch,官方 README 的 The idea、Setup、Design choices 与 program.md,V3,D2,P1,Q1,已核验,限制：官方代码不是同行评议证据；没有独立对照或新科学命题评价，且单指标循环可能过拟合。
C013,Nature 正式论文报告单细胞批次整合的 40 个方法实现、疫情预测 14 个模型及其他可打分科学软件任务。,era-nature,"Nature 正文单细胞结果与 Methods：独立优化集和 1,747,937 个留出细胞",V3,D2,P2,Q2,已核验,限制：这些是经验软件优化而非一般科学发现；疫情回溯案例受到独立数据修订泄漏质疑。
C014,"预印本摘要报告 1,197 次主实验和 600 次控制实验，覆盖三个可快速打分任务。",specialist-autoresearch,"arXiv 摘要与实验审计：1,197 主实验和 600 控制实验",V3,D2,P1,Q2,已核验,限制：三个任务均为机器学习小环境，改进多是已有技术组合。；尚无独立团队复现，不能外推开放式科学创新。
C015,摘要报告在一个 Karpathy GPT 预训练基准上，外环指标改善约为标准内环的五倍（-0.045 对 -0.009 val_bpb）。,bilevel-autoresearch,arXiv:2603.23420 摘要与正文单基准实验结果：外环和标准内环的 val_bpb 改善,V3,D2,P1,Q1,已核验,限制：单一小型基准、预印本且无外部复现。；同一模型既设计搜索又评价轨迹，存在共偏差。
C016,ICML 正式论文在六个领域评价两代理顺序证伪循环及其一类错误与统计功效。,popper,"PMLR 正式页 Abstract；作者全文 §2.2–§2.4、§4、Table 3–4，pp.2–8",V3,D2,P2,Q2,已核验,限制：主要在可程序化数据环境中测试，真实新实验范围有限。；复杂假设的拆解仍依赖模型与可用数据。
C017,官方论文记录以 2024 年新化学论文为目标，并公开代码和数据用于未见假设重发现。,moose-chem,ICLR 2025 OpenReview 正式页 Abstract 与 Data/Code 入口；规范版本 ID X9OfMNNepI,V2,D2,P2,Q2,已核验,限制：重发现已知论文不是实时产生新知识。；匹配真实假设可能奖励相似表述而非独立科学价值。
C018,Nature 正式论文报告 92 个新设计，其中两种纳米抗体对 JN.1 或 KP.3 变体结合改善，同时保持祖代结合。,virtual-lab,Nature 正文设计筛选与结合实验结果,V3,D2,P2,Q2,已核验,限制：人类提供高层反馈并执行全部实体实验；结果是结合表型，不是病毒中和、动物疗效或临床有效性。
C019,Nature 正式论文的急性髓系白血病案例中，五个初筛药物有三个抑制细胞活力。,google-co-scientist,"Nature Wet-laboratory validation 与 Figure 3，pp.492–493：五个初筛药物、三项细胞活力抑制及约 18 倍 IC50 分离",V3,D2,P2,Q3,已核验,限制：候选选择、方案落地和湿实验均有专家深度参与。；作者称结果为初步生物现实检查，体外细胞系不替代临床前验证。
C020,Nature 正式论文在干性年龄相关性黄斑变性案例中报告，ripasudil 使吞噬相对对照提高 1.89 倍；人类分析为 1.75 倍。,robin,"Nature Figure 3 p.501 与 Figure 4 p.502：Finch 1.89 倍、人类分析 1.75 倍，以及 ARPE-19 n=3、老年原代 RPE n=4 的同团队验证",V3,D2,P2,Q2,已核验,限制：论文明确称系统为半自主；湿实验、协议和部分数据处理由人完成。；单疾病概念验证不能证明通用发现能力。
C021,预印本覆盖 36 个端点；某模型验证增益 0.041 在测试仅剩 0.003。,molecular-auto-research,arXiv 结果表：验证—测试差距与外部数据反转,V3,D2,P1,Q2,已核验,限制：只覆盖分子性质预测且尚未同行评议。；不同套件指标不能简单横向比较。
C022,预印本报告 701 次尝试、十个 Matbench 端点，九项外层选择仍是已测单项干预中的最好者。,materials-auto-research,"arXiv:2607.17100v2 §5、Figure 2 与 Table 2：701 次尝试、十端点和 9/10 外层选择保持；Table 3：平均外层改善 26.3%",V3,D2,P1,Q2,已核验,限制：最新预印本，来自同一研究线且无独立复现。；“最好已测干预”不是全局最优，也不是新材料实验发现。
C023,Science 正式论文报告约 660 万次生物量测量与超过一万个研究单元。,robot-scientist-adam,"Science p.85 与作者接受稿 p.1 Abstract；Science pp.86–88、Table 1 与 Figure 2：6,657,024 个 OD600 读数及超过一万个研究单元",V3,D2,P2,Q2,已核验,限制：实验域高度受控，耗材、废物、菌株库和模型仍由人维护；人工确认来自同一团队，不是独立复现。
C024,TNP-470 对间日疟原虫 DHFR 的 IC50 为 0.16 微摩尔，对人 DHFR 大于 165 微摩尔；确认实验由研究者执行。,robot-scientist-eve,Royal Society 正文的候选验证与 DHFR 实验段,V3,D2,P2,Q2,已核验,限制：Eve 只在固定化合物库和人定义 assay 中闭环筛选；后续酶与寄生虫验证不是机器人完成。
C025,Nature 正式论文展示连续自主实验与催化配方搜索：8 天、43 批、688 次实验，并披露远程重置、库存报警和全天候监控。,mobile-robotic-chemist,"Nature pp.238–240 与接受稿 pp.2–6、Figures 2–4、Online Methods：688 次实验、约六倍改善及人工监控边界",V3,D2,P2,Q2,已核验,限制：目标是预定义性能优化，不是开放式假设生成。；硬件维护与安全监控仍需要人类。
C026,更正后的 Nature 版本报告 17 天完成 353 次实验，在 57 个研究者给定目标中确认实现 36 个，另有 4 个不确定。,a-lab,"Nature 更正版 Abstract、Figures 1–4 与 Conclusion，pp.86–91；Publisher Correction p.E1：36/57、4 个不确定及新颖性口径；PRX Energy 3, 011002，Table I 与 §IV–§VI：独立复核",V4,D3,PX,Q1,已核验,限制：“新”仅指平台此前未见；目标与前驱体过滤由人给定，结构判读和新颖性受到同行评议质疑。
C027,Nature 论文覆盖六类任务并执行 Suzuki 与 Sonogashira 反应，但没有形成测量结果驱动下一轮实体实验的闭环。,coscientist-chemistry,Nature 正文设备流程与反应优化段,V3,D2,P2,Q2,已核验,限制：微孔板由人移动，实体结果不回流；迭代优化主要在既有数据集，完整代码、提示与数据未公开。
C028,同一 SAMPLE 平台内四个自主活动都找到比起始序列稳定至少 12 摄氏度的酶。,sample-protein-lab,Nature Chemical Engineering 正文 Results：四个活动、12 摄氏度、研究定义景观少于 2%,V3,D2,P2,Q2,已核验,限制：固定 GH1 目标、预合成 DNA 与无细胞代理体系；不是四个实验室的独立复现。
C029,正式论文用 24 个任务模板各取 5 个参数种子构成 120 个零样本实例，强基线在多数实例上仍然失败。,discoveryworld,"NeurIPS 正式页 Abstract；作者全文 §3.2：8 个主题×3 个难度×5 个种子；§3.4 与 Table 4：三类指标和基线结果",V3,D2,P2,Q2,已核验,限制：模拟环境相对现实科学低保真。；自动评分不能覆盖真实伦理、安全与制度责任。
C030,正式论文覆盖计算机科学、社会科学和医学；最强基线在 Hard 任务准确率为 21.48%。,corebench,"TMLR/作者全文 §3 Evaluation Harness：181 个问题与两小时预算；§4 Table 5：Hard 21.48%",V3,D2,P2,Q2,已核验,限制：使用既有代码和数据，测量复现而非原创研究。；自动评价难以判断结果背后的科学解释。
C031,正式论文记录 61 位专家的 71 次八小时尝试，并比较每环境 2、8 及跨尝试汇总 32 小时总预算。,rebench,ICML 正文人类实验段与时间—性能曲线,V3,D2,P2,Q3,已核验,限制：只有七项任务；32 小时是跨尝试总预算而非单人连续工作，短程吞吐不等于长期科研替代。
C032,ICLR 正式论文报告 o1-preview 加 AIDE 在 75 个离线重建竞赛中有 16.9% 达到至少铜牌水平。,mlebench,ICLR 正文基准构建与主结果表,V3,D2,P2,Q2,已核验,限制：不是实时 Kaggle 参赛，离线切分、公开解法与训练污染均可能混杂；奖牌不等于科学有效性。
C033,框架覆盖 201 项，但端到端实验只执行 10 项；其中 Claude Code 有 8 项使用占位或合成结果。,mlrbench,NeurIPS 正文实验设置与结果：201 项框架、10 项子集、8/10,V3,D2,P2,Q2,已核验,限制：不能把 8/10 外推全部 201 项或所有代理；最终评价仍大量依赖两个模型裁判。
C034,主设置最强代理平均复现分 21.0%；41.4% 对 26.6% 仅来自三篇论文、每人 48 小时的人类子集。,paperbench,"ICML 正文：8,316 项量表、21.0% 主设置与三论文 48 小时子集",V3,D2,P2,Q3,已核验,限制：只覆盖机器学习论文且裁判仍用模型；人类 41.4% 是 best-of-3，不能外推全部 20 篇。
C035,主实验在两种框架上测试 12 个代理，最佳自主成功率约 33%，标准提示下低于 44%。,rexbench,"ACL 正式页 Abstract、正式 PDF §4.1–§4.3、Appendix I、Figure 9 与 Table 5：主设置低于 44%；新模型 No Hints 42%、Hints 62%、Detailed Hints 50%",V3,D2,P2,Q2,已核验,限制：44% 不是最终版本全局上界；12 项均为专家定义扩展，不测原创问题提出。
C036,4 篇论文共 85 个可遮蔽函数；n=1 最佳 36.5%，n=2 降到 9.6%，n=5 接近零。,autoexperiment,ICLR/OpenReview 正文的渐进遮蔽设计与结果表,V3,D2,P2,Q2,已核验,限制：n=1 是最低遮蔽难度，不是最高自主设置；高遮蔽与 n=all 的有效样本更小，且不测原创选题。
C037,预印本在 30 篇神经科学论文池上评价；开放 IT-18 子集含 18 篇论文与 120 个子主题。,inquitree,"arXiv:2606.09550v1 §4.1、Table 2，p.5；§4.3、Figure 3，p.6；附录 E、Table 4–5，pp.15–16",V3,D2,P1,Q2,已核验,限制：最新预印本，开放子集较小。；反馈来自论文派生环境，不等于未知现实世界。
C038,预印本认为原疫情案例约 11% 的优势几乎可由数据修订泄漏解释。,era-data-leakage,arXiv 表 1 与讨论：按修订强度分箱的加权区间分数,V3,D3,P1,Q2,已核验,限制：尚未同行评议，只复核 ERA 六个案例中的一个。；论文也记录 ERA 后续前瞻性系统在 2025/26 赛季表现强，不能否定整个方法。
C039,正式论文报告，没有模型在危险识别上超过 70% 准确率。,labsafety-bench,"Nature Machine Intelligence 摘要：765 选择题、404 场景、3,128 开放任务",V3,D2,P2,Q3,已核验,限制：文本与图像场景仍不能覆盖真实机器人故障和传感器误差。；安全知识得分不等于在压力和工具权限下会安全行动。
C040,Nature Communications 正式观点论文系统列出化学、生物、放射、物理、信息和新兴技术风险，并提出人类监管、代理对齐与代理—环境调节三元防护。,risks-ai-scientists,"Nature Communications 16, 8317 正式全文：Abstract、风险分类正文与三元防护框架；DOI 10.1038/s41467-025-63913-1",V3,D1,P2,Q1,已核验,限制：这是范围综述与观点框架，不是安全机制有效性的实验验证。；风险分类不能给出现有系统事故率。
C041,Nature 正式观点论文给出理解幻觉与科学单一文化的概念框架。,illusions-understanding,"Nature 627, 49–58 正式全文的理解幻觉、科学单一文化主论证与结论；DOI 10.1038/s41586-024-07146-0",V3,D1,P2,Q1,已核验,限制：不是 Auto-Research 系统的实证评价。；宏观认识论风险难以直接转成单一量化指标。
C042,在显著性水平 0.05 下，所有被测自动评审器对逻辑关键编辑和中性编辑的关注维度、情感或评分变化均无显著差异。,automatic-review-faulty-reasoning,TACL 第 6.2 节、图 3–5 与附录表 5；ORACLE 对照在三个维度显著,V3,D2,P2,Q3,已核验,限制：样本集中人工智能与自然语言处理，反事实由模型生成和筛选；测的是内部逻辑一致性子能力而非全部评审质量。
C043,"完整基准含 1,000 题：600 个 Deep、400 个 Wide，后者共对应 3,692 个答案；完整基准最优 Deep Accuracy 为 9.39%，最优 Wide IoU 为 9.31%。",autoresearchbench,"arXiv:2604.25256v1 §2.3/Table 1，PDF pp.5–6：任务分母；§3.1–§3.4、Table 2–4，PDF pp.7–9：完整基准结果与 50 题子集边界",V3,D2,P1,Q2,已核验,限制：昂贵端到端系统只在随机 50 题子集运行，11/50 不能写成 11%或与完整基准直接排名。；固定计算机科学全文语料和对抗式难题筛选不能外推日常跨学科检索。
C044,"预印本覆盖 10 个领域、40 个真实论文派生任务；所有系统均跑 40 题，最强自主代理与最强 ResearchHarness 组合的平均分分别为 21.5/100 和 20.7/100。",researchclawbench,"arXiv:2606.07591v5 §3.1–§3.4、Table 2–3，PDF pp.6–9：10 领域 40 任务；Table 5 与 §4.1–§4.2，PDF pp.10–11：40 题分母及 21.5/20.7",V3,D2,P1,Q2,已核验,限制：任务主要是既有数据、代码和文献上的干实验再发现，超过 50 分也不等于发现经外部验证的新知识。；单一模型裁判未报告与独立专家一致性，正文另有 7/8 个配置及 24.6/25.8 的内部口径冲突。
C045,"DiscoPER 在 iNatDisco-800 找回 8/9 个已知模式，support rate 为 72.7%±3%；在 iNatDisco-50K 找回 8/12，support rate 为 74.2%±3%。",discoper,"arXiv:2607.01131v1 §4.1–§4.3、Table 2 与 Figure 4，PDF pp.5–8：两个数据规模、8/9 与 8/12、support rate、消融和合成反事实",V3,D2,P1,Q2,已核验,限制：support rate 是三次运行中所提假设通过重复使用留出检验的比例，不是独立发现数量；100 轮自适应使用同一留出集且无多重比较校正。；语义匹配由模型裁判完成，正文与附录还存在 Sonnet 4.6/4.5 口径冲突。
C046,"名义设计为 25 个主题×每策略 4 篇×6 种设置，共 600 次尝试；最强策略在较宽阈值下报告 82.0% 接收率，但正文未披露结构检查后各策略的实际有效稿分母。",badscientist,"ACL 2026 正式 PDF §3–§4.2、Table 1–2，pp.24714–24718：生成设计、评审阈值和 82.0%；Appendix B p.24727：25 个主题；正文未给逐策略有效稿 N",V3,D2,P2,Q2,已核验,限制：82.0% 不能反推为精确 82/100。；论文不执行真实代码或数据，只测三种模型和单轮评审，不能外推人类同行评议。
C047,"PAPERMIND 的首三类任务来自 506 篇、7 个领域论文；四类论文理解与批判任务合计 3,022 个实例。",papermind,"Findings of ACL 2026 正式 PDF Figure 2 p.10459 与 §3/Figure 3 pp.10460–10461：四类任务和 3,022 个实例；Appendix D.1–D.2/Table 6 p.10469：506 篇、7 领域",V3,D2,P2,Q2,已核验,限制：评价完全依赖模型裁判，未报告与独立人类偏好的一致性；批判任务只来自计算机科学。；它测给定论文后的组件能力，不是端到端自主研究。
C048,"CellBench 覆盖 76 项研究；仅给背景时相对所测 GPT-4o/o3-mini 基线最高约改善 23%；三个案例中专家创造性均值为 2.8/4，15 个假设中 12 个被原研究作者认为值得继续探索。",cellvoyager,"Nature Methods Figure 2：76 项研究与约 23% 相对改善；Figure 3 和 bioRxiv §6 p.13：三个案例、2.8/4 及 12/15；HeurekaBench §4.2/Table 1：受改造条件下的独立反向结果",V4,D3,P2,Q1,已核验,限制：评价者主要是原研究作者，没有湿实验验证；值得探索不等于发现成立。；独立 HeurekaBench 移除了假设提议阶段，只能作为受改造条件下的反向证据。
